method,id,file,dataset,fitness,dice,jaccard,acc
otsu,6,241,bs,0.7439720812182741,0.4972961509914113,0.33093423652272086,0.9429221545351665
otsu,6,242,bs,0.6679399367755532,0.42814927389395474,0.27238545415480475,0.9393719677032422
otsu,6,243,bs,0.7619322278298486,0.4664753917457515,0.304185136146451,0.9511675824175824
otsu,6,244,bs,0.6069493741827013,0.30684232894177643,0.18122489959839358,0.9323722910216719
otsu,6,245,bs,0.5641397495056032,0.2470554272517321,0.1409373867790916,0.9212571325061136
otsu,6,246,bs,0.48644138506466417,0.2046990666237528,0.1140193617784152,0.9159952405235424
otsu,6,247,bs,0.44062857737537725,0.21013971263369483,0.11740565122147353,0.9205417212756662
otsu,6,248,bs,0.6032752245113576,0.30563361434497527,0.18038224609066497,0.9333935203409266
otsu,6,249,bs,0.602513553474618,0.29525419635309746,0.17319543812424737,0.9293088046029222
otsu,6,250,bs,0.8188666324259545,0.6448264239973037,0.4758257063270991,0.9577601410934744
otsu,6,251,bs,0.7051776920005324,0.43881227481674745,0.28107591914690433,0.940192253371937
otsu,6,252,bs,0.8318912237330037,0.6177460479347272,0.4469121227772449,0.9644064577397911
otsu,6,301,ygs,0.9296116504854369,0.8389923329682366,0.7226415094339622,0.9743991640543365
otsu,6,302,ygs,0.8338879645036051,0.7463390419458923,0.5953276578895268,0.9569865319865319
otsu,6,303,ygs,0.8118115055079559,0.7242697242697242,0.5677295099507811,0.954455266955267
otsu,6,304,ygs,0.8589427554094768,0.783804048987753,0.644471845458282,0.9632227891156463
otsu,6,305,ygs,0.8386177413608835,0.6967589166789996,0.5346354758119464,0.9520903479236813
otsu,6,306,ygs,0.8852523659305994,0.7479593536565051,0.5973922299095263,0.9612766175266175
otsu,6,307,ygs,0.7541173071366657,0.6820854566836535,0.5175490779298036,0.959579346092504
otsu,6,401,ar,0.9682148852825966,0.3136124705455864,0.1859670242266601,0.9143970630787037
otsu,6,402,ar,0.9593887550867868,0.40158520475561427,0.2512396694214876,0.9221733940972222
otsu,6,403,ar,0.9723541590549263,0.3040423465793332,0.17927472774222522,0.9173742223668981
otsu,6,404,ar,0.95035386077955,0.3466183807524127,0.20964209152763538,0.9233240198206019
otsu,6,405,ar,0.9809026128266033,0.3883465929394948,0.2409616057883067,0.9264842845775463
otsu,6,406,ar,0.9825067281814687,0.39244442738127233,0.24412495223538402,0.9284532335069444
otsu,6,407,ar,0.9838801226018844,0.33605397336228454,0.20196206366220815,0.9225825557002315
otsu,6,408,ar,0.9732683254875588,0.413632953449323,0.2607422754706783,0.9257948133680556
otsu,6,409,ar,0.9790066010172059,0.3314830081524228,0.19866924326935745,0.9175098560474537
otsu,6,410,ar,0.9703024604293998,0.4258545979778527,0.2705306621807616,0.9245198567708334
otsu,6,411,ar,0.9565970914023058,0.4063700384122919,0.25499648488500554,0.9161557798032407
